account,property_name,amount
Earnest money,2200 Dogwood Trail,1000
Interest Payment,2200 Dogwood Trail,7000
Labor,2200 Dogwood Trail,39700
Materials,2200 Dogwood Trail,40260.58
Photography,2200 Dogwood Trail,130
Property Purchase,2200 Dogwood Trail,150000
Third Party Vendors,2200 Dogwood Trail,17615.4
Utilities,2200 Dogwood Trail,217.97
Total for Expenses,2200 Dogwood Trail,258172.84
Net Operating Income,2200 Dogwood Trail,-134253.82
Mortgage,2200 Dogwood Trail,150000
Total for Other Income,2200 Dogwood Trail,150000
Net Other Income,2200 Dogwood Trail,150000
Net Income,2200 Dogwood Trail,15746.179999999993
Sale of property,2232 Garland Dr,92960.42
Total for Income,2232 Garland Dr,92960.42
Gross Profit,2232 Garland Dr,92960.42
Dumpsters,2232 Garland Dr,2950.31
Earnest money,2232 Garland Dr,5000
Interest Payment,2232 Garland Dr,12911.56
Labor,2232 Garland Dr,39175
Materials,2232 Garland Dr,31056.48
Permits,2232 Garland Dr,339.57
Property Purchase,2232 Garland Dr,23274.61
Third Party Vendors,2232 Garland Dr,28456.66
Utilities,2232 Garland Dr,2473.84
Total for Expenses,2232 Garland Dr,145638.03
Net Operating Income,2232 Garland Dr,-52677.61
Mortgage,2232 Garland Dr,185000
Total for Other Income,2232 Garland Dr,185000
Net Other Income,2232 Garland Dr,185000
Net Income,2232 Garland Dr,132322.39
Sale of property,2234 Pup Run,113596.03
Total for Income,2234 Pup Run,113596.03
Gross Profit,2234 Pup Run,113596.03
Cleaning services,2234 Pup Run,410
Dumpsters,2234 Pup Run,2446.58
Labor,2234 Pup Run,30630
Materials,2234 Pup Run,32359.9
Permits,2234 Pup Run,2422
Third Party Vendors,2234 Pup Run,37127.88
Utilities,2234 Pup Run,1941.15
Total for Expenses,2234 Pup Run,107337.51000000001
Net Operating Income,2234 Pup Run,6258.5199999999895
Net Income,2234 Pup Run,6258.5199999999895
Sale of property,2236 Carl Jones Rd,194368.39
Total for Income,2236 Carl Jones Rd,194368.39
Gross Profit,2236 Carl Jones Rd,194368.39
Dumpsters,2236 Carl Jones Rd,1465.82
Interest Payment,2236 Carl Jones Rd,4500
Labor,2236 Carl Jones Rd,26500
Materials,2236 Carl Jones Rd,19155.58
Property Purchase,2236 Carl Jones Rd,9148.9
Third Party Vendors,2236 Carl Jones Rd,27690.6
Utilities,2236 Carl Jones Rd,125
Total for Expenses,2236 Carl Jones Rd,88585.9
Net Operating Income,2236 Carl Jones Rd,105782.49000000002
Net Income,2236 Carl Jones Rd,105782.49000000002
Cleaning services,2308 Kala St,200
Dumpsters,2308 Kala St,2848.65
Labor,2308 Kala St,32456
Materials,2308 Kala St,56942.31
Third Party Vendors,2308 Kala St,21184.5
Utilities,2308 Kala St,1209.42
Total for Expenses,2308 Kala St,114840.87999999999
Net Operating Income,2308 Kala St,-114840.87999999999
Net Income,2308 Kala St,-114840.87999999999
Sale of property,232 Redstone way,144098.32
Total for Income,232 Redstone way,144098.32
Gross Profit,232 Redstone way,144098.32
Admin Services,232 Redstone way,300
Labor,232 Redstone way,13450
Materials,232 Redstone way,6948.95
Property Purchase,232 Redstone way,75961.09
Third Party Vendors,232 Redstone way,7137
Total for Expenses,232 Redstone way,103797.04
Net Operating Income,232 Redstone way,40301.28000000001
Net Income,232 Redstone way,40301.28000000001
Sale of property,2321 Royal Knoll Ln,136820.92
Total for Income,2321 Royal Knoll Ln,136820.92
Gross Profit,2321 Royal Knoll Ln,136820.92
Closing Costs,2321 Royal Knoll Ln,1766.48
Dumpsters,2321 Royal Knoll Ln,3809.68
Interest Payment,2321 Royal Knoll Ln,9400
Labor,2321 Royal Knoll Ln,38105
Materials,2321 Royal Knoll Ln,36622.78
Referal Fee,2321 Royal Knoll Ln,25000
Third Party Vendors,2321 Royal Knoll Ln,26266.17
Utilities,2321 Royal Knoll Ln,154.89
Total for Expenses,2321 Royal Knoll Ln,141125
Net Operating Income,2321 Royal Knoll Ln,-4304.079999999987
Net Income,2321 Royal Knoll Ln,-4304.079999999987
HOA Fees,2360 Grayson Valley Dr,5580
Labor,2360 Grayson Valley Dr,4360
Materials,2360 Grayson Valley Dr,3706.79
Property Purchase,2360 Grayson Valley Dr,42221.25
Third Party Vendors,2360 Grayson Valley Dr,2805.8
Total for Expenses,2360 Grayson Valley Dr,58673.840000000004
Net Operating Income,2360 Grayson Valley Dr,-58673.840000000004
Net Income,2360 Grayson Valley Dr,-58673.840000000004
Sale of property,2364 Rocky Ridge Rd,401775.53
Total for Income,2364 Rocky Ridge Rd,401775.53
Gross Profit,2364 Rocky Ridge Rd,401775.53
Continuing Education,2364 Rocky Ridge Rd,620
Dumpsters,2364 Rocky Ridge Rd,15068.95
Labor,2364 Rocky Ridge Rd,56550
Legal Fees,2364 Rocky Ridge Rd,654.6
Materials,2364 Rocky Ridge Rd,70875.91
Photography,2364 Rocky Ridge Rd,175
Property Purchase,2364 Rocky Ridge Rd,56662.31
Third Party Vendors,2364 Rocky Ridge Rd,52499.5
Total for Expenses,2364 Rocky Ridge Rd,253106.27000000002
Net Operating Income,2364 Rocky Ridge Rd,148669.26
Net Income,2364 Rocky Ridge Rd,148669.26
Sale of property,239 Warwick Ln,274592.75
Total for Income,239 Warwick Ln,274592.75
Gross Profit,239 Warwick Ln,274592.75
Dumpsters,239 Warwick Ln,556.97
Interest Payment,239 Warwick Ln,23650
Labor,239 Warwick Ln,22103.19
Materials,239 Warwick Ln,4502.88
Property Purchase,239 Warwick Ln,202908.56
Third Party Vendors,239 Warwick Ln,38247.2
Total for Expenses,239 Warwick Ln,291968.8
Net Operating Income,239 Warwick Ln,-17376.04999999999
Net Income,239 Warwick Ln,-17376.04999999999
Sale of property,2401 16th St,99188.66
Total for Income,2401 16th St,99188.66
Gross Profit,2401 16th St,99188.66
Cleaning services,2401 16th St,225
Dumpsters,2401 16th St,6047.55
Interest Payment,2401 16th St,17090.32
Labor,2401 16th St,38260
Materials,2401 16th St,37544.85
Property Purchase,2401 16th St,120000
Staging and Interiors,2401 16th St,3650
Third Party Vendors,2401 16th St,48824.34
Utilities,2401 16th St,2315.56
Total for Expenses,2401 16th St,273957.62
Net Operating Income,2401 16th St,-174768.96
Mortgage,2401 16th St,104765.19
Total for Other Income,2401 16th St,104765.19
Net Other Income,2401 16th St,104765.19
Net Income,2401 16th St,-70003.76999999999
Labor,2406 Hampstead Dr.,1050
Materials,2406 Hampstead Dr.,529.86
Property Purchase,2406 Hampstead Dr.,71091.32
Third Party Vendors,2406 Hampstead Dr.,1844
Total for Expenses,2406 Hampstead Dr.,74515.18000000001
Net Operating Income,2406 Hampstead Dr.,-74515.18000000001
Net Income,2406 Hampstead Dr.,-74515.18000000001
Sale of property,2422 Mallard dr,88408.01
Total for Income,2422 Mallard dr,88408.01
Gross Profit,2422 Mallard dr,88408.01
Closing Costs,2422 Mallard dr,1911.76
Dumpsters,2422 Mallard dr,1024.1
Interest Payment,2422 Mallard dr,1400
Labor,2422 Mallard dr,20237
Materials,2422 Mallard dr,7576.51
Third Party Vendors,2422 Mallard dr,12237.23
Total for Expenses,2422 Mallard dr,44386.600000000006
Net Operating Income,2422 Mallard dr,44021.40999999999
Net Income,2422 Mallard dr,44021.40999999999
Sale of property,2432 Blueberry Dr.,203558.69
Total for Income,2432 Blueberry Dr.,203558.69
Gross Profit,2432 Blueberry Dr.,203558.69
Property Purchase,2432 Blueberry Dr.,156475.75
Total for Expenses,2432 Blueberry Dr.,156475.75
Net Operating Income,2432 Blueberry Dr.,47082.94
Net Income,2432 Blueberry Dr.,47082.94
Labor,2454 Hampstead Dr,11828.72
Materials,2454 Hampstead Dr,10832.59
Movers,2454 Hampstead Dr,200
Property Insurance,2454 Hampstead Dr,995.99
Property Purchase,2454 Hampstead Dr,77167.65
Third Party Vendors,2454 Hampstead Dr,13480.24
Utilities,2454 Hampstead Dr,381.73
Total for Expenses,2454 Hampstead Dr,114886.92
Net Operating Income,2454 Hampstead Dr,-114886.92
Net Income,2454 Hampstead Dr,-114886.92
Sale of property,251 Pineview Cir,159158.03
Total for Income,251 Pineview Cir,159158.03
Gross Profit,251 Pineview Cir,159158.03
Labor,251 Pineview Cir,30547.74
Materials,251 Pineview Cir,15447.3
Permits,251 Pineview Cir,93
Photography,251 Pineview Cir,100
Professional Fees,251 Pineview Cir,1000
Property Insurance,251 Pineview Cir,848
Property Purchase,251 Pineview Cir,40576.71
Property taxes,251 Pineview Cir,388.83
Third Party Vendors,251 Pineview Cir,37155.25
Total for Expenses,251 Pineview Cir,126156.83
Net Operating Income,251 Pineview Cir,33001.2
Net Income,251 Pineview Cir,33001.2
Sale of property,2512 October Dr,93102.59
Total for Income,2512 October Dr,93102.59
Gross Profit,2512 October Dr,93102.59
Admin Services,2512 October Dr,300
Dumpsters,2512 October Dr,3010.95
Earnest money,2512 October Dr,1000
Labor,2512 October Dr,12020
Materials,2512 October Dr,13714.29
Property Purchase,2512 October Dr,59179.5
Third Party Vendors,2512 October Dr,20767.55
Total for Expenses,2512 October Dr,109992.29000000001
Net Operating Income,2512 October Dr,-16889.70000000001
Net Income,2512 October Dr,-16889.70000000001
Advertising and Promotion,2513 7th St NE,456.95
Dumpsters,2513 7th St NE,2243.49
Labor,2513 7th St NE,25000
Materials,2513 7th St NE,35447.61
Permits,2513 7th St NE,3170
Property Purchase,2513 7th St NE,21042.18
Third Party Vendors,2513 7th St NE,14964.44
Utilities,2513 7th St NE,968.83
Total for Expenses,2513 7th St NE,103293.50000000001
Net Operating Income,2513 7th St NE,-103293.50000000001
Net Income,2513 7th St NE,-103293.50000000001
Dumpsters,2516 Andrew Way,446.25
Total for Expenses,2516 Andrew Way,446.25
Net Operating Income,2516 Andrew Way,-446.25
Net Income,2516 Andrew Way,-446.25
Sale of property,2517 Galloway Dr.,87983.68
Total for Income,2517 Galloway Dr.,87983.68
Gross Profit,2517 Galloway Dr.,87983.68
Dumpsters,2517 Galloway Dr.,504.7
Interest Payment,2517 Galloway Dr.,1600.01
Labor,2517 Galloway Dr.,9197.56
Materials,2517 Galloway Dr.,2607
Third Party Vendors,2517 Galloway Dr.,5957.7
Total for Expenses,2517 Galloway Dr.,19866.97
Net Operating Income,2517 Galloway Dr.,68116.70999999999
Net Income,2517 Galloway Dr.,68116.70999999999
Cleaning services,2521 Arcadia Place,263.33
Dumpsters,2521 Arcadia Place,972.03
Interest Payment,2521 Arcadia Place,1653.23
Labor,2521 Arcadia Place,22030
Materials,2521 Arcadia Place,17117.78
Property Purchase,2521 Arcadia Place,109092.55
Third Party Vendors,2521 Arcadia Place,15252.87
Utilities,2521 Arcadia Place,1213.93
Total for Expenses,2521 Arcadia Place,167595.71999999997
Net Operating Income,2521 Arcadia Place,-167595.71999999997
Mortgage,2521 Arcadia Place,125000
Total for Other Income,2521 Arcadia Place,125000
Net Other Income,2521 Arcadia Place,125000
Net Income,2521 Arcadia Place,-42595.71999999997
Earnest money,2536 Hampstead Dr,5000
Interest Payment,2536 Hampstead Dr,4791.65
Labor,2536 Hampstead Dr,1950
Materials,2536 Hampstead Dr,493.73
Third Party Vendors,2536 Hampstead Dr,7234
Total for Expenses,2536 Hampstead Dr,19469.379999999997
Net Operating Income,2536 Hampstead Dr,-19469.379999999997
Mortgage,2536 Hampstead Dr,115741.93
Total for Other Income,2536 Hampstead Dr,115741.93
Net Other Income,2536 Hampstead Dr,115741.93
Net Income,2536 Hampstead Dr,96272.54999999999
Materials,2569 Hampstead Dr,70.54
Property Purchase,2569 Hampstead Dr,84253.65
Total for Expenses,2569 Hampstead Dr,84324.18999999999
Net Operating Income,2569 Hampstead Dr,-84324.18999999999
Net Income,2569 Hampstead Dr,-84324.18999999999
Labor,2583 Hampstead Dr,1826
Materials,2583 Hampstead Dr,4045.55
Property Purchase,2583 Hampstead Dr,86376.94
Third Party Vendors,2583 Hampstead Dr,2400
Utilities,2583 Hampstead Dr,372.56
Total for Expenses,2583 Hampstead Dr,95021.05
Net Operating Income,2583 Hampstead Dr,-95021.05
Net Income,2583 Hampstead Dr,-95021.05
Sale of property,2636 Dennise Rd.,209199.2
Total for Income,2636 Dennise Rd.,209199.2
Gross Profit,2636 Dennise Rd.,209199.2
Dumpsters,2636 Dennise Rd.,519.84
Labor,2636 Dennise Rd.,9806
Materials,2636 Dennise Rd.,3633.65
Photography,2636 Dennise Rd.,115
Property Purchase,2636 Dennise Rd.,177461.12
Third Party Vendors,2636 Dennise Rd.,335
Total for Expenses,2636 Dennise Rd.,191870.61
Net Operating Income,2636 Dennise Rd.,17328.590000000026
Net Income,2636 Dennise Rd.,17328.590000000026
Dumpsters,2645 Laburnum Dr,1725.41
Total for Expenses,2645 Laburnum Dr,1725.41
Net Operating Income,2645 Laburnum Dr,-1725.41
Net Income,2645 Laburnum Dr,-1725.41
Sale of property,270 Myers Rd,85226.6
Total for Income,270 Myers Rd,85226.6
Gross Profit,270 Myers Rd,85226.6
Cleaning services,270 Myers Rd,200
Dumpsters,270 Myers Rd,1521.45
Interest Payment,270 Myers Rd,12600
Labor,270 Myers Rd,17165
Materials,270 Myers Rd,11122.48
Property Insurance,270 Myers Rd,1053.64
Property Purchase,270 Myers Rd,9384.42
Third Party Vendors,270 Myers Rd,7726
Utilities,270 Myers Rd,2712.45
Total for Expenses,270 Myers Rd,63485.439999999995
Net Operating Income,270 Myers Rd,21741.16000000001
Net Income,270 Myers Rd,21741.16000000001
Dumpsters,2701 Eastern Valley Rd,3347.5
Earnest money,2701 Eastern Valley Rd,5000
Labor,2701 Eastern Valley Rd,41344
Materials,2701 Eastern Valley Rd,61617.98
Property Purchase,2701 Eastern Valley Rd,347769
Third Party Vendors,2701 Eastern Valley Rd,51341
Utilities,2701 Eastern Valley Rd,764.15
Total for Expenses,2701 Eastern Valley Rd,511183.63
Net Operating Income,2701 Eastern Valley Rd,-511183.63
Net Income,2701 Eastern Valley Rd,-511183.63
Attorney Fees,2720 Shoemaker St,1150
Cleaning services,2720 Shoemaker St,180
Dumpsters,2720 Shoemaker St,1440.16
Labor,2720 Shoemaker St,14490
Materials,2720 Shoemaker St,14503.87
Property Insurance,2720 Shoemaker St,1061.82
Property Purchase,2720 Shoemaker St,90302.52
Third Party Vendors,2720 Shoemaker St,8733.47
Utilities,2720 Shoemaker St,1001.69
Total for Expenses,2720 Shoemaker St,132863.53
Net Operating Income,2720 Shoemaker St,-132863.53
Net Income,2720 Shoemaker St,-132863.53
Sale of property,2736 Darlene Cir,222910.39
Total for Income,2736 Darlene Cir,222910.39
Gross Profit,2736 Darlene Cir,222910.39
Dumpsters,2736 Darlene Cir,2371.96
Labor,2736 Darlene Cir,29775
Materials,2736 Darlene Cir,21581.38
Property Purchase,2736 Darlene Cir,85089.32
Referal Fee,2736 Darlene Cir,5000
Third Party Vendors,2736 Darlene Cir,22242
Total for Expenses,2736 Darlene Cir,166059.66
Net Operating Income,2736 Darlene Cir,56850.73000000001
Net Income,2736 Darlene Cir,56850.73000000001
Sale of property,2755 Austin Ln,247405.95
Total for Income,2755 Austin Ln,247405.95
Gross Profit,2755 Austin Ln,247405.95
Cleaning services,2755 Austin Ln,250
Dumpsters,2755 Austin Ln,585.67
Earnest money,2755 Austin Ln,2200
Labor,2755 Austin Ln,20554
Materials,2755 Austin Ln,3845.18
Property Purchase,2755 Austin Ln,220195.31
Third Party Vendors,2755 Austin Ln,12188.93
Utilities,2755 Austin Ln,797.83
Total for Expenses,2755 Austin Ln,260616.91999999998
Net Operating Income,2755 Austin Ln,-13210.969999999972
Net Income,2755 Austin Ln,-13210.969999999972
Sale of property,2825 2nd Way NW,157591.72
Total for Income,2825 2nd Way NW,157591.72
Gross Profit,2825 2nd Way NW,157591.72
Cleaning services,2825 2nd Way NW,695
Dumpsters,2825 2nd Way NW,4016.25
Interest Payment,2825 2nd Way NW,2493.77
Labor,2825 2nd Way NW,24344
Materials,2825 2nd Way NW,35034.82
Property Insurance,2825 2nd Way NW,929.43
Property Purchase,2825 2nd Way NW,19282.53
Third Party Vendors,2825 2nd Way NW,16938.61
Utilities,2825 2nd Way NW,864.72
Total for Expenses,2825 2nd Way NW,104599.12999999999
Net Operating Income,2825 2nd Way NW,52992.59000000001
Net Income,2825 2nd Way NW,52992.59000000001
Sale of property,2921 Florida Rd.,125738.38
Total for Income,2921 Florida Rd.,125738.38
Gross Profit,2921 Florida Rd.,125738.38
Admin Services,2921 Florida Rd.,300
Closing Costs,2921 Florida Rd.,453.52
Dumpsters,2921 Florida Rd.,5619.67
Earnest money,2921 Florida Rd.,1000
Interest Payment,2921 Florida Rd.,8750
Labor,2921 Florida Rd.,56416.31
Materials,2921 Florida Rd.,48646.43
Third Party Vendors,2921 Florida Rd.,39573.53
Utilities,2921 Florida Rd.,150
Total for Expenses,2921 Florida Rd.,160909.46
Net Operating Income,2921 Florida Rd.,-35171.07999999999
Net Income,2921 Florida Rd.,-35171.07999999999
Sale of property,2928 Floyd Bradford Rd,295546.2
Total for Income,2928 Floyd Bradford Rd,295546.2
Gross Profit,2928 Floyd Bradford Rd,295546.2
Cleaning services,2928 Floyd Bradford Rd,150
Dumpsters,2928 Floyd Bradford Rd,6618.46
Earnest money,2928 Floyd Bradford Rd,1000
Labor,2928 Floyd Bradford Rd,44189.4
Materials,2928 Floyd Bradford Rd,60272.28
Mortgage Payment,2928 Floyd Bradford Rd,12691.16
Property Insurance,2928 Floyd Bradford Rd,1071.5
Property Purchase,2928 Floyd Bradford Rd,380000
Third Party Vendors,2928 Floyd Bradford Rd,30003.58
Total for Expenses,2928 Floyd Bradford Rd,535996.38
Net Operating Income,2928 Floyd Bradford Rd,-240450.18
Mortgage,2928 Floyd Bradford Rd,300582.23
Total for Other Income,2928 Floyd Bradford Rd,300582.23
Net Other Income,2928 Floyd Bradford Rd,300582.23
Net Income,2928 Floyd Bradford Rd,60132.04999999999
Sale of property,294 Heritage Dr,293571.03
Total for Income,294 Heritage Dr,293571.03
Gross Profit,294 Heritage Dr,293571.03
Cleaning services,294 Heritage Dr,700
Dumpsters,294 Heritage Dr,4813.44
Interest Payment,294 Heritage Dr,11026.12
Labor,294 Heritage Dr,50395.18
Materials,294 Heritage Dr,58364.95
Property Insurance,294 Heritage Dr,540
Property Purchase,294 Heritage Dr,43659.25
Staging and Interiors,294 Heritage Dr,3000
Third Party Vendors,294 Heritage Dr,40700
Utilities,294 Heritage Dr,3811.37
Total for Expenses,294 Heritage Dr,217010.31
Net Operating Income,294 Heritage Dr,76560.72000000003
Net Income,294 Heritage Dr,76560.72000000003
Sale of property,300 42nd Ave.,241021.87
Total for Income,300 42nd Ave.,241021.87
Gross Profit,300 42nd Ave.,241021.87
Admin Services,300 42nd Ave.,600
Labor,300 42nd Ave.,5400
Materials,300 42nd Ave.,1942.81
Photography,300 42nd Ave.,130
Property Purchase,300 42nd Ave.,210983.9
Third Party Vendors,300 42nd Ave.,3537.25
Total for Expenses,300 42nd Ave.,222593.96
Net Operating Income,300 42nd Ave.,18427.910000000003
Net Income,300 42nd Ave.,18427.910000000003
Sale of property,300 Huntsville Ave,102109.5
Total for Income,300 Huntsville Ave,102109.5
Gross Profit,300 Huntsville Ave,102109.5
Earnest money,300 Huntsville Ave,1000
Labor,300 Huntsville Ave,1250
Materials,300 Huntsville Ave,291.21
Property Purchase,300 Huntsville Ave,89398
Third Party Vendors,300 Huntsville Ave,1656.75
Utilities,300 Huntsville Ave,625.42
Total for Expenses,300 Huntsville Ave,94221.38
Net Operating Income,300 Huntsville Ave,7888.119999999995
Net Income,300 Huntsville Ave,7888.119999999995
Sale of property,3009 Virginia Dr,148722.12
Total for Income,3009 Virginia Dr,148722.12
Gross Profit,3009 Virginia Dr,148722.12
Dumpsters,3009 Virginia Dr,1465.82
Earnest money,3009 Virginia Dr,1000
Labor,3009 Virginia Dr,38200
Materials,3009 Virginia Dr,43245.48
Mortgage Payment,3009 Virginia Dr,3926.99
Permits,3009 Virginia Dr,1838
Property Insurance,3009 Virginia Dr,691.5
Property Purchase,3009 Virginia Dr,140938.73
Third Party Vendors,3009 Virginia Dr,25421.15
Utilities,3009 Virginia Dr,651.15
Total for Expenses,3009 Virginia Dr,257378.82
Net Operating Income,3009 Virginia Dr,-108656.70000000001
Mortgage,3009 Virginia Dr,112000
Total for Other Income,3009 Virginia Dr,112000
Net Other Income,3009 Virginia Dr,112000
Net Income,3009 Virginia Dr,3343.2999999999884
Sale of property,3012 2nd St,245061.52
Total for Income,3012 2nd St,245061.52
Gross Profit,3012 2nd St,245061.52
Cleaning services,3012 2nd St,350
Dumpsters,3012 2nd St,1603.39
Labor,3012 2nd St,36236.5
Materials,3012 2nd St,33943.13
Property Purchase,3012 2nd St,104819.08
Staging and Interiors,3012 2nd St,3700
Third Party Vendors,3012 2nd St,28638.88
Utilities,3012 2nd St,1142.11
